,GHI(W/m2),DHI(W/m2),DNI(W/m2),TEMPERATURE,R.HUMIDITY,WINDSPEED,CABLE#1,CABLE#2,CABLE#3,CABLE#4,CABLE#5,TX(LV)
0,0.0,0.0,1.0,23.2,95.26,11.9,0.0,0,0.0,0.0,0.0,0.0
1,261.0,145.0,436.0,24.3,89.7,17.6,2.68,2.74,2.68,2.75,1.77,12.16
2,123.0,127.0,5.0,25.8,80.06,22.7,4.68,3.03,2.71,1.86,0.88,12.52
3,775.0,205.0,748.0,28.2,69.53,22.3,6.64,7.77,7.47,7.93,4.62,35.92
4,936.0,129.0,870.0,28.3,66.23,23.8,8.77,8.87,8.8,8.86,5.76,41.68
5,1131.0,211.0,883.0,29.1,62.07,23.4,5.77,10.66,6.72,10.45,6.88,41.49
6,681.0,373.0,245.0,32.1,47.95,33.5,8.29,3.89,8.3,3.84,3.93,28.36
7,367.0,354.0,9.0,30.3,55.82,21.6,5.57,3.04,4.08,3.22,2.13,19.16
8,1192.0,401.0,863.0,30.6,53.2,20.5,3.09,4.11,3.17,6.75,4.46,22.37
9,236.0,163.0,92.0,34.1,41.54,27.7,7.71,7.56,7.66,7.43,3.16,35.08
10,579.0,156.0,725.0,30.3,51.82,18.4,4.99,5.19,4.46,5.11,3.36,23.74
11,58.0,68.0,1.0,28.9,59.41,14.4,0.5,0.54,0.54,0.55,0.36,2.88
13,0.0,0.0,1.0,21.2,96.97,11.5,0.0,0,0.0,0.0,0.0,0.0
14,171.0,182.0,345.0,23.1,88.52,18.0,1.79,1.8,1.77,1.81,1.18,7.66
15,221.0,222.0,0.0,25.7,74.37,24.1,2.44,2.43,2.51,2.56,1.52,11.55
16,241.0,237.0,1.0,26.7,72.73,25.9,5.52,2.95,6.12,2.83,1.61,19.45
17,380.0,353.0,12.0,30.0,54.05,25.6,9.97,7.35,10.11,7.05,2.31,38.28
18,1182.0,298.0,847.0,31.8,46.69,25.6,6.04,9.35,9.69,7.91,6.86,41.82
19,1150.0,185.0,863.0,31.2,48.01,48.2,9.84,9.73,9.91,10.03,6.48,47.95
20,1042.0,137.0,875.0,34.0,39.24,24.8,9.37,9.42,9.38,9.44,6.16,44.79
21,976.0,237.0,807.0,34.5,37.68,24.8,6.02,8.15,7.68,5.97,5.18,33.9
22,773.0,201.0,763.0,33.2,39.02,37.1,7.19,7.3,7.25,7.34,4.71,34.63
23,364.0,164.0,403.0,33.4,39.32,24.8,3.25,2.21,3.93,2.62,1.46,13.79
24,224.0,85.0,487.0,31.6,44.64,24.1,1.76,1.77,1.74,1.73,1.11,8.6
26,0.0,0.0,1.0,22.0,93.48,12.6,0.0,0,0.0,0.0,0.0,0.0
27,66.0,69.0,0.0,23.5,86.41,15.8,0.66,0.7,0.68,0.7,0.45,3.3
28,205.0,202.0,6.0,25.8,72.57,19.8,5.91,5.36,5.94,4.54,1.29,24.26
29,824.0,278.0,728.0,27.7,69.86,37.1,7.53,7.85,7.57,7.82,5.36,37.48
30,335.0,307.0,19.0,29.8,55.02,22.7,10.11,8.96,9.99,7.69,3.82,41.96
31,1188.0,381.0,768.0,31.7,48.44,23.4,5.22,5.25,5.25,5.36,6.55,27.77
32,444.0,393.0,7.0,31.2,50.46,18.4,4.17,4.04,4.16,4.09,2.83,19.73
33,1155.0,322.0,797.0,34.0,41.0,24.1,5.78,9.37,5.14,10.12,6.52,38.42
34,937.0,222.0,793.0,34.3,39.82,24.1,8.64,8.64,8.68,8.73,5.67,41.42
35,746.0,232.0,679.0,34.1,40.26,22.3,6.71,5.58,7.04,6.83,3.8,31.59
36,339.0,158.0,416.0,33.1,41.27,24.1,4.55,4.48,4.55,4.49,2.22,21.5
37,204.0,98.0,383.0,31.6,45.49,22.7,1.62,1.59,1.63,1.6,1.01,8.27
39,0.0,0.0,1.0,22.9,94.68,12.6,0.0,0,0.0,0.0,0.0,0.0
40,144.0,150.0,1.0,24.4,87.02,18.4,1.55,1.61,1.73,1.72,1.13,7.94
41,138.0,143.0,0.0,26.8,72.3,22.0,1.97,1.68,1.99,1.64,0.96,8.7
42,329.0,292.0,53.0,27.7,72.9,29.5,4.69,8.16,3.28,7.59,3.45,27.46
43,299.0,272.0,23.0,31.4,50.83,20.9,9.1,6.11,9.12,6.71,2.09,34.16
44,387.0,322.0,44.0,33.1,44.76,20.5,9.96,10.27,10.02,10.33,6.28,48.18
45,1135.0,215.0,818.0,32.1,48.55,18.4,9.65,8.24,9.77,9.54,6.4,44.95
46,1116.0,271.0,809.0,35.1,38.09,19.4,5.28,5.06,8.22,5.38,6.36,31.59
47,946.0,239.0,776.0,35.5,36.79,19.4,8.66,8.76,8.74,8.7,5.32,40.92
48,822.0,264.0,727.0,35.1,39.05,29.5,6.05,7.45,5.06,7.43,4.75,32.11
49,630.0,270.0,614.0,34.3,38.59,19.8,4.67,5.45,5.06,5.46,3.62,24.59
50,217.0,95.0,434.0,32.8,42.5,19.4,1.66,1.6,1.61,1.6,1.03,8.32
52,0.0,0.0,1.0,21.8,95.22,11.5,0.0,0,0.0,0.0,0.0,0.0
53,94.0,95.0,5.0,24.1,81.82,18.4,1.91,1.19,1.94,1.49,0.69,7.05
54,227.0,211.0,24.0,26.7,67.14,22.0,2.52,1.98,2.84,2.06,1.34,11.6
55,742.0,299.0,361.0,28.1,69.08,29.5,2.2,2.62,2.16,2.47,2.47,11.6
56,926.0,194.0,785.0,31.3,45.12,22.3,8.78,8.77,8.8,8.8,5.68,42.12
57,1223.0,384.0,794.0,33.3,38.56,22.7,9.67,10.13,9.79,10.24,6.68,47.45
58,1131.0,207.0,822.0,32.2,48.27,11.2,9.66,9.74,9.73,9.76,6.4,46.51
59,1173.0,290.0,850.0,35.8,32.71,22.0,9.96,10.21,10.04,10.18,6.42,48.02
60,923.0,186.0,817.0,36.1,32.18,22.3,8.29,8.37,8.56,8.42,5.43,40.19
61,766.0,222.0,720.0,25.6,69.89,18.4,3.83,5.09,4.61,2.66,3.35,19.68
62,149.0,142.0,35.0,34.6,35.86,24.1,4.31,3.19,4.32,3.19,0.82,16.26
63,119.0,89.0,131.0,32.8,41.19,24.8,0.76,0.77,0.74,0.75,0.69,3.54
65,0.0,0.0,0.0,22.4,91.8,14.8,0.0,0,0.0,0.0,0.0,0.0
66,168.0,178.0,2.0,24.1,83.34,18.7,1.78,1.72,1.79,1.72,1.09,8.51
67,538.0,251.0,602.0,26.8,70.12,23.0,3.75,5.27,4.85,5.43,3.42,24.0
68,817.0,260.0,735.0,28.1,67.0,14.8,7.52,7.7,7.51,7.76,5.2,36.82
69,892.0,154.0,795.0,31.8,50.0,23.4,8.55,8.37,8.67,8.31,5.52,39.77
70,316.0,282.0,25.0,33.5,44.87,23.8,10.18,10.56,10.36,10.75,6.09,49.78
71,1174.0,232.0,837.0,33.1,45.88,37.1,10.02,10.13,6.16,10.02,6.62,44.27
72,1062.0,263.0,813.0,35.5,39.4,24.1,9.89,9.89,9.95,9.82,6.35,46.91
73,978.0,253.0,799.0,35.7,38.25,24.1,8.38,8.63,8.28,8.33,4.94,39.34
74,767.0,192.0,758.0,35.1,39.79,22.3,6.99,7.04,6.91,6.99,4.57,32.53
75,179.0,162.0,58.0,34.1,41.8,24.8,2.43,2.12,1.57,3.36,1.62,12.26
76,66.0,77.0,8.0,32.5,46.3,24.8,1.33,0.62,1.32,0.59,0.41,5.23
78,0.0,0.0,1.0,23.5,94.13,11.2,0.0,0,0.0,0.0,0.0,0.0
79,190.0,199.0,1.0,24.9,85.5,15.8,2.08,1.76,2.07,1.63,1.24,9.1
80,123.0,128.0,1.0,27.1,71.48,18.4,1.07,0.92,1.04,0.93,0.66,5.42
81,848.0,295.0,727.0,28.1,73.42,22.3,7.25,4.56,8.62,7.31,4.99,33.71
82,979.0,210.0,823.0,30.9,53.94,18.7,9.15,9.03,9.14,9.11,5.93,43.44
83,1073.0,201.0,843.0,32.4,48.63,18.7,7.02,4.55,6.97,2.36,5.95,27.77
84,1128.0,160.0,871.0,33.1,51.89,14.8,10.0,9.93,9.96,9.92,6.32,47.29
85,1148.0,246.0,861.0,34.4,41.88,18.7,5.69,8.84,3.66,7.85,6.2,32.65
86,909.0,134.0,863.0,34.6,40.65,18.7,8.44,8.39,8.43,8.37,5.41,40.31
87,755.0,127.0,821.0,35.1,43.65,11.2,6.97,6.87,6.91,6.93,4.49,33.9
88,523.0,88.0,743.0,33.8,40.69,18.4,4.48,4.47,4.48,4.48,2.88,21.36
89,97.0,55.0,171.0,32.6,42.71,16.9,0.92,0.79,0.95,0.94,0.49,4.93
91,0.0,1.0,0.0,22.8,92.95,10.8,0.0,0,0.0,0.0,0.0,0.0
92,79.0,83.0,0.0,24.5,83.9,13.7,0.6,0.63,0.57,0.66,0.42,2.97
93,231.0,233.0,0.0,26.9,70.14,14.8,5.87,2.69,5.73,2.71,1.49,19.07
94,553.0,371.0,227.0,29.4,58.07,13.7,3.25,3.54,3.27,3.99,3.1,17.87
95,317.0,309.0,2.0,31.6,49.02,13.3,3.09,3.01,3.14,3.07,2.08,15.06
96,1151.0,267.0,851.0,33.4,42.13,13.7,7.6,10.27,8.75,10.61,6.88,45.52
97,659.0,309.0,284.0,31.1,59.91,14.8,8.22,7.39,8.58,8.95,5.43,39.79
98,1135.0,226.0,884.0,35.6,35.01,14.0,9.71,10.08,9.83,10.16,6.42,47.0
99,932.0,175.0,843.0,36.0,33.61,14.8,8.53,8.53,8.58,8.57,5.64,40.76
100,726.0,109.0,813.0,34.1,46.15,0.0,6.6,6.59,6.53,6.56,4.26,31.54
101,546.0,118.0,728.0,35.0,34.63,16.6,4.72,4.71,4.73,4.69,3.05,21.9
102,337.0,173.0,554.0,33.6,37.44,16.2,2.88,2.7,2.91,2.86,1.86,13.81
104,0.0,0.0,0.0,23.2,93.54,10.1,0.0,0,0.0,0.0,0.0,0.0
105,182.0,83.0,375.0,24.9,83.44,13.7,1.68,2.04,2.06,2.1,1.29,9.33
106,563.0,214.0,619.0,27.7,66.51,14.4,4.94,4.99,4.89,5.02,3.5,23.6
107,835.0,292.0,120.0,28.1,69.93,9.4,7.74,7.9,7.81,7.99,5.4,37.76
108,842.0,222.0,667.0,32.7,43.55,13.3,5.5,8.64,7.65,8.76,5.63,37.29
109,1035.0,158.0,845.0,34.4,39.35,14.0,9.38,9.51,9.35,9.46,6.14,45.02
110,1158.0,205.0,858.0,32.7,47.81,25.9,10.09,10.02,10.12,10.14,6.47,48.44
111,1085.0,179.0,878.0,36.1,36.27,16.6,6.48,9.61,5.5,9.59,6.14,37.95
112,936.0,168.0,864.0,36.0,36.7,18.4,8.76,8.61,8.83,8.63,5.57,41.44
113,775.0,168.0,805.0,34.7,39.43,0.0,6.98,6.94,7.01,6.97,4.53,33.43
114,306.0,242.0,110.0,34.4,40.34,21.2,2.7,2.7,2.55,3.75,2.19,15.06
115,252.0,90.0,558.0,32.8,44.4,22.0,1.76,1.9,1.73,1.9,1.28,8.93
117,1.0,0.0,1.0,23.7,93.56,14.0,0.0,0,0.0,0.0,0.0,0.0
118,105.0,109.0,1.0,25.3,82.97,18.4,0.94,0.98,0.94,1.07,0.74,4.91
119,497.0,135.0,681.0,28.0,66.57,19.4,5.06,4.93,5.14,5.05,3.3,24.11
120,250.0,244.0,2.0,29.2,68.87,18.4,8.8,6.54,8.74,5.34,1.67,32.69
121,522.0,266.0,271.0,32.6,47.19,16.2,6.15,5.49,6.41,5.65,4.92,28.85
122,1092.0,202.0,864.0,34.1,43.12,15.5,10.13,10.37,9.85,9.06,5.39,46.22
123,1137.0,170.0,884.0,32.7,53.07,25.9,10.05,10.08,10.14,10.22,6.52,48.65
124,568.0,567.0,61.0,35.8,39.0,16.9,9.29,5.69,9.62,2.87,1.99,29.41
125,922.0,160.0,863.0,35.8,39.24,18.0,8.46,8.59,8.71,8.56,5.52,41.18
126,748.0,123.0,832.0,35.7,41.71,9.4,6.8,6.82,8.82,6.78,4.42,32.62
127,519.0,99.0,720.0,34.3,42.91,20.9,4.49,4.47,4.54,4.43,2.86,21.78
128,219.0,90.0,458.0,32.6,48.38,22.0,1.73,1.74,1.74,1.74,1.14,8.25
130,0.0,2.0,1.0,24.2,94.16,12.2,0.0,0,0.0,0.0,0.0,0.0
131,68.0,70.0,1.0,25.4,87.11,16.2,0.68,0.67,0.66,0.7,0.47,3.23
132,324.0,266.0,100.0,27.2,75.99,18.0,2.49,4.71,2.38,5.17,2.12,16.17
133,661.0,281.0,427.0,29.1,72.27,14.8,5.75,3.54,7.17,3.29,1.73,22.42
134,635.0,436.0,179.0,29.8,62.99,18.4,4.16,4.04,4.02,3.76,3.24,19.56
135,576.0,429.0,104.0,30.5,60.88,18.7,9.01,4.33,7.03,3.95,2.99,27.44
136,1169.0,224.0,848.0,32.7,51.47,14.8,8.66,9.83,9.76,9.98,6.12,45.47
137,719.0,250.0,336.0,31.2,59.93,18.4,3.49,3.45,5.21,4.75,6.11,23.52
138,921.0,177.0,839.0,31.0,61.73,17.6,8.71,8.6,8.7,8.62,5.56,42.31
139,732.0,132.0,793.0,35.6,41.94,22.3,6.71,6.67,6.65,6.7,4.36,32.34
140,536.0,114.0,725.0,29.8,68.16,15.8,4.53,4.53,4.52,4.53,2.94,21.8
141,180.0,92.0,315.0,28.3,77.55,14.0,2.13,2.05,2.08,2.03,1.06,9.74
143,0.0,0.0,0.0,24.3,97.04,9.0,0.0,0,0.0,0.0,0.0,0.0
144,2.0,6.0,0.0,25.1,94.19,12.2,0.0,0,0.0,0.0,0.0,0.0
145,2.0,6.0,0.0,26.3,88.25,14.8,0.07,0,0.07,0.0,0.0,0.0
146,57.0,58.0,0.0,25.1,93.07,9.4,1.04,0.73,1.04,0.64,0.43,4.87
147,866.0,581.0,256.0,28.5,73.93,16.6,9.38,10.48,9.22,9.91,6.54,47.1
148,1211.0,464.0,726.0,29.4,69.33,15.8,6.44,8.46,8.08,9.8,6.4,39.34
149,891.0,442.0,365.0,29.1,71.4,9.4,9.42,9.2,9.77,9.22,5.55,43.8
150,1015.0,146.0,861.0,30.3,65.04,13.0,8.75,9.42,9.05,9.49,6.06,43.42
151,896.0,154.0,845.0,30.4,64.28,12.6,8.5,8.55,8.66,8.51,5.55,40.97
152,429.0,426.0,17.0,32.6,55.02,5.4,4.48,4.29,4.44,4.32,2.71,21.69
153,206.0,203.0,0.0,29.3,70.15,12.2,2.35,2.39,2.39,2.35,1.44,11.43
154,110.0,119.0,14.0,28.0,77.04,11.5,1.1,1.12,1.14,1.14,0.72,6.01
156,0.0,0.0,0.0,23.2,95.85,10.1,0.0,0,0.0,0.0,0.0,0.0
157,62.0,64.0,0.0,23.5,94.7,10.4,0.6,0.59,0.61,0.62,0.4,2.05
158,236.0,235.0,0.0,24.2,92.46,12.6,2.6,2.57,2.65,2.55,1.54,12.21
159,230.0,229.0,0.0,26.6,83.63,9.4,3.82,2.24,3.47,2.43,1.55,13.48
160,524.0,510.0,0.0,26.6,82.62,18.0,4.48,5.14,4.7,5.19,3.45,24.02
161,349.0,345.0,4.0,28.0,75.2,18.0,2.78,3.19,2.86,3.27,2.2,14.78
162,1340.0,557.0,665.0,26.6,88.8,13.0,10.56,10.91,9.63,10.87,7.16,51.27
163,1034.0,189.0,845.0,29.1,70.97,15.1,8.97,9.3,9.23,9.33,6.1,44.13
164,869.0,136.0,838.0,29.0,72.25,14.0,8.08,8.32,8.52,8.35,5.35,40.12
165,823.0,248.0,765.0,31.2,59.57,5.4,8.07,6.44,8.35,7.71,4.96,36.49
166,586.0,185.0,685.0,28.0,78.44,11.5,4.07,4.35,5.11,4.27,2.71,20.88
167,263.0,176.0,302.0,27.1,82.68,10.1,2.37,2.47,2.38,2.35,1.58,11.34
169,0.0,0.0,0.0,23.2,97.02,9.4,0.0,0,0.0,0.0,0.0,0.0
170,68.0,70.0,0.0,24.1,93.58,13.0,0.95,0.79,1.08,0.81,0.47,4.43
171,231.0,230.0,0.0,25.5,86.6,14.0,2.39,2.29,2.43,2.36,1.62,11.29
172,634.0,477.0,187.0,26.6,86.18,7.6,5.38,5.98,6.35,6.85,4.48,29.94
173,263.0,265.0,3.0,28.2,73.43,12.2,3.31,3.39,3.48,3.66,2.02,16.12
174,318.0,311.0,1.0,29.1,69.69,11.9,3.98,3.53,4.11,3.64,2.17,18.29
175,266.0,247.0,1.0,28.2,82.32,18.4,2.95,3.03,2.95,3.0,1.94,13.44
176,495.0,472.0,10.0,30.5,63.91,11.2,4.91,5.08,4.98,4.98,3.59,23.85
177,486.0,315.0,191.0,30.3,65.83,10.1,8.29,6.79,8.06,5.63,2.57,31.8
178,734.0,163.0,780.0,29.6,70.63,5.4,6.61,6.79,6.77,6.78,4.39,32.51
179,52.0,56.0,13.0,29.2,70.99,11.5,0.43,0.44,0.37,0.47,0.32,1.77
180,87.0,90.0,1.0,28.0,77.97,10.8,0.87,0.89,0.95,0.94,0.65,4.08
182,0.0,0.0,0.0,23.1,97.61,5.0,0.0,0,0.0,0.0,0.0,0.0
183,91.0,91.0,1.0,24.7,90.83,6.1,0.85,0.9,0.89,0.9,0.55,3.89
184,289.0,174.0,221.0,26.4,82.6,5.4,4.62,4.28,4.85,4.34,2.16,20.63
185,264.0,263.0,0.0,27.7,78.4,0.0,3.21,2.9,3.18,2.85,1.75,13.65
186,915.0,203.0,792.0,29.5,68.1,8.3,5.08,6.67,6.27,5.31,5.74,30.48
187,1154.0,327.0,802.0,30.6,63.55,9.4,2.34,2.67,2.77,2.78,4.69,16.29
188,284.0,254.0,7.0,30.7,64.34,0.0,2.82,3.24,3.4,3.28,1.82,14.59
189,441.0,348.0,104.0,32.0,57.62,10.1,2.46,2.88,2.98,2.9,1.91,13.7
190,253.0,245.0,17.0,32.3,55.96,10.1,7.38,2.92,7.06,1.99,1.54,21.8
191,756.0,186.0,768.0,33.1,52.53,9.4,6.09,7.17,7.08,7.16,4.74,32.6
192,512.0,120.0,686.0,32.1,54.9,10.1,3.87,4.51,4.58,4.57,2.93,20.96
193,227.0,89.0,492.0,30.7,59.82,9.4,1.6,1.76,1.76,1.82,1.15,8.23
195,1.0,2.0,0.0,23.7,97.03,4.0,0.0,0,0.0,0.0,0.0,0.0
196,163.0,171.0,2.0,25.1,89.76,6.5,1.6,1.7,1.63,1.7,1.06,7.19
197,256.0,251.0,3.0,26.5,82.11,9.7,2.17,2.5,2.11,2.68,1.81,11.64
198,386.0,377.0,4.0,27.2,79.76,7.6,2.74,3.62,3.08,3.57,2.54,15.53
199,821.0,519.0,230.0,29.1,70.12,12.2,6.36,8.88,7.09,10.03,6.87,39.88
200,1187.0,354.0,817.0,29.8,66.94,13.0,8.61,10.09,7.73,10.29,6.89,45.31
201,287.0,247.0,6.0,31.1,62.89,14.8,9.03,6.79,9.39,7.9,4.9,38.87
202,1224.0,376.0,834.0,30.6,63.55,14.0,2.57,3,2.66,3.17,5.02,17.4
203,196.0,199.0,4.0,30.8,62.44,14.4,1.5,1.77,1.62,1.74,1.19,8.11
204,833.0,193.0,812.0,33.2,50.05,24.1,6.22,6.84,6.76,6.86,4.47,31.63
205,490.0,116.0,652.0,30.5,62.38,13.7,4.0,4.24,3.77,4.28,2.82,19.54
206,200.0,94.0,381.0,29.3,67.24,11.5,1.47,1.64,1.61,1.64,1.07,8.44
208,0.0,0.0,0.0,23.6,97.03,6.8,0.0,0,0.0,0.0,0.0,0.0
209,112.0,117.0,1.0,24.8,92.49,11.2,1.72,1.83,1.85,1.86,1.09,8.44
210,496.0,230.0,491.0,26.3,84.1,15.5,4.02,4.71,3.99,4.63,3.36,21.31
211,298.0,279.0,26.0,28.7,73.08,11.2,4.45,4.29,5.15,4.11,2.3,20.79
212,873.0,209.0,740.0,29.3,66.43,14.8,7.84,8.59,8.43,8.7,5.52,39.79
213,463.0,344.0,127.0,30.3,61.2,13.7,6.9,7.66,6.06,3.73,5.78,31.75
214,1148.0,268.0,804.0,32.1,57.64,7.6,9.97,10.79,9.81,10.45,6.13,49.1
215,424.0,351.0,60.0,31.9,53.86,12.2,3.68,3.57,6.33,5.36,2.7,21.52
216,938.0,257.0,785.0,32.3,52.01,11.9,7.26,5.43,8.45,8.28,5.25,35.95
217,609.0,237.0,568.0,33.7,48.66,14.8,6.49,4.65,6.88,6.11,3.02,27.44
218,524.0,135.0,682.0,32.0,51.3,11.9,4.24,4.59,4.47,4.62,2.99,21.33
219,220.0,103.0,421.0,30.6,56.59,10.8,1.61,1.78,1.68,1.72,1.14,8.18
221,0.0,0.0,0.0,23.5,97.61,5.0,0.0,0,0.0,0.0,0.0,0.0
222,86.0,91.0,1.0,25.1,89.76,8.6,0.81,0.89,0.88,0.89,0.56,3.94
223,249.0,250.0,1.0,26.6,81.14,11.5,2.57,2.72,2.64,2.73,1.76,12.51
224,395.0,378.0,16.0,28.6,73.5,14.8,3.7,4.2,3.99,4.14,2.75,18.65
225,866.0,459.0,433.0,28.9,67.16,12.2,6.18,8.06,6.17,7.96,4.61,34.04
226,709.0,383.0,348.0,29.5,64.48,11.9,6.82,7.35,8.03,7.3,6.04,36.75
227,830.0,570.0,180.0,32.1,60.14,18.4,6.06,8,6.21,8.05,6.27,36.07
228,1111.0,304.0,812.0,30.9,57.71,11.5,5.63,2.92,7.45,7.1,6.29,30.13
229,875.0,185.0,801.0,31.2,56.04,11.9,7.78,8.37,8.26,8.42,5.43,39.2
230,771.0,215.0,743.0,33.7,48.66,5.4,6.36,7,6.75,6.99,4.56,32.72
231,513.0,120.0,686.0,30.2,59.34,13.3,4.18,4.51,4.42,4.54,2.91,21.36
232,152.0,134.0,101.0,29.0,65.17,12.2,1.07,1.2,1.11,1.13,0.74,5.99
234,0.0,0.0,0.0,23.0,97.01,5.0,0.0,0,0.0,0.0,0.0,0.0
235,230.0,239.0,1.0,24.7,88.12,6.1,2.24,2.34,2.37,2.44,1.49,10.61
236,452.0,465.0,1.0,26.9,75.02,7.2,4.29,4.62,4.52,4.65,3.04,21.71
237,660.0,667.0,9.0,29.1,69.27,7.6,6.26,6.8,6.63,6.82,4.4,31.28
238,890.0,123.0,860.0,30.8,54.92,9.7,5.54,8.56,5.69,8.53,5.46,34.89
239,347.0,305.0,23.0,32.2,50.41,10.8,9.38,8.75,10.0,8.8,3.52,42.01
240,364.0,326.0,1.0,32.1,60.14,9.4,7.54,4.65,4.91,4.46,2.48,23.52
241,870.0,430.0,421.0,33.6,45.73,11.5,2.89,4.22,3.15,4.15,3.99,19.38
242,829.0,351.0,523.0,33.5,45.71,12.6,7.51,10.18,5.98,9.16,5.9,40.26
243,324.0,285.0,58.0,33.1,46.46,13.3,3.06,2.64,5.48,3.48,1.83,16.55
244,451.0,176.0,453.0,32.1,48.55,14.4,1.74,1.91,1.75,1.78,1.29,8.67
245,92.0,91.0,0.0,30.5,54.85,14.4,0.86,0.91,0.89,0.9,0.57,3.63
247,0.0,0.0,0.0,23.2,96.43,5.4,0.0,0,0.0,0.0,0.0,0.0
248,74.0,81.0,0.0,24.3,89.7,8.6,0.74,0.82,0.74,0.81,0.49,2.97
249,611.0,264.0,640.0,26.0,77.68,8.6,3.75,3.76,4.6,4.68,3.7,21.78
250,263.0,176.0,10.0,28.1,72.53,18.4,2.37,2.47,2.38,2.35,1.58,11.34
251,378.0,364.0,6.0,30.7,53.56,7.2,3.81,4.04,4.0,3.98,2.58,18.17
252,1115.0,428.0,667.0,31.9,48.8,9.7,8.72,10.06,8.2,10.19,6.59,44.2
253,431.0,388.0,5.0,31.7,53.48,11.2,3.91,4.33,4.15,4.26,2.85,20.69
254,1330.0,463.0,862.0,32.8,45.52,12.2,9.13,10.92,9.66,10.93,7.13,49.9
255,586.0,478.0,116.0,32.8,44.68,12.6,4.42,5.59,4.65,5.32,4.0,25.03
256,631.0,420.0,264.0,33.6,50.46,11.2,3.97,4.64,4.24,4.61,3.41,21.38
257,607.0,146.0,793.0,32.2,45.36,13.3,4.86,5.34,5.05,5.32,3.51,24.86
258,237.0,76.0,541.0,30.8,50.67,13.3,1.71,1.91,1.79,1.88,1.21,9.45
260,1.0,1.0,1.0,22.9,96.42,6.8,0.0,0,0.0,0.0,0.0,0.0
261,270.0,250.0,280.0,24.7,87.05,11.9,1.82,1.96,1.9,1.95,1.28,8.58
262,457.0,468.0,480.0,26.9,72.77,14.4,4.35,4.68,4.59,4.69,3.06,21.26
263,659.0,66.0,836.0,28.6,72.62,11.2,6.26,6.84,6.7,6.85,4.43,31.96
264,854.0,72.0,880.0,30.8,52.27,13.3,7.54,8.23,7.98,8.24,5.34,37.97
265,661.0,458.0,197.0,32.3,47.41,12.2,7.64,6.4,9.67,9.14,4.77,38.99
266,1295.0,327.0,873.0,32.6,57.76,7.6,9.89,7.78,10.19,7.74,6.65,43.23
267,1194.0,323.0,885.0,33.8,43.04,12.2,6.48,10.6,6.48,10.86,6.84,41.42
268,903.0,144.0,879.0,33.9,43.06,13.7,8.19,8.78,8.73,8.83,5.69,41.84
269,780.0,149.0,842.0,33.1,52.85,9.4,6.87,7.07,7.36,7.2,4.55,34.34
270,525.0,80.0,778.0,32.6,46.32,16.9,4.19,4.54,4.44,4.54,2.97,21.92
271,247.0,71.0,609.0,31.0,52.32,18.0,1.79,1.89,1.95,1.81,1.17,8.53
273,1.0,3.0,1.0,23.7,95.86,11.5,0.0,0,0.0,0.0,0.0,0.0
274,114.0,116.0,10.0,24.5,91.92,14.0,1.02,1.19,1.17,1.24,0.82,5.73
275,60.0,64.0,0.0,25.8,84.05,15.1,0.43,0.51,0.39,0.51,0.41,2.03
276,115.0,117.0,0.0,25.7,92.54,0.0,1.33,1.35,1.33,1.24,0.78,5.02
277,354.0,348.0,1.0,28.4,69.14,10.1,4.2,3.72,4.11,3.76,2.45,18.15
278,619.0,555.0,27.0,29.1,65.59,8.3,7.74,5.67,8.77,6.97,4.42,34.58
279,633.0,186.0,390.0,29.2,81.46,11.2,9.14,9.52,9.61,9.77,5.71,44.74
280,979.0,95.0,901.0,29.9,61.87,9.7,8.3,8.95,8.78,9.03,5.83,42.71
281,926.0,183.0,857.0,30.1,60.42,10.4,8.19,8.27,8.04,6.46,5.69,37.03
282,938.0,318.0,824.0,33.6,55.27,9.4,4.68,8.34,4.88,8.18,5.58,32.08
283,241.0,250.0,1.0,29.9,61.12,11.5,1.98,2.36,2.09,2.43,1.67,10.75
284,35.0,38.0,0.0,28.8,67.14,10.1,0.31,0.39,0.34,0.39,0.31,2.59
286,1.0,0.0,0.0,23.3,95.85,7.6,0.0,0,0.0,0.0,0.0,0.0
287,142.0,66.0,387.0,24.6,90.82,11.9,1.6,1.86,1.58,1.95,1.18,8.44
288,457.0,81.0,709.0,26.2,84.09,15.1,4.23,4.69,4.55,4.68,3.05,21.78
289,669.0,93.0,818.0,29.1,68.44,11.2,6.52,7.07,6.9,7.06,4.57,32.93
290,933.0,165.0,867.0,29.2,66.41,17.3,8.2,7.68,8.66,7.87,5.91,38.98
291,762.0,338.0,556.0,30.5,59.05,15.8,6.74,6.59,8.41,6.77,2.2,32.06
292,267.0,234.0,6.0,30.7,61.29,14.8,6.36,9.67,9.77,10.57,2.73,40.12
293,267.0,234.0,0.0,32.7,49.0,12.2,9.15,7.39,10.31,10.52,6.97,46.18
294,938.0,199.0,856.0,33.1,46.75,11.2,8.36,8.99,8.85,8.71,5.73,41.3
295,144.0,153.0,9.0,32.7,53.07,7.6,6.52,7.22,6.92,7.16,3.15,30.95
296,523.0,70.0,781.0,32.6,45.75,9.4,4.21,4.55,4.42,4.57,2.94,20.72
297,233.0,52.0,613.0,31.5,50.54,6.5,1.72,1.86,1.8,1.86,1.18,8.91
299,1.0,0.0,1.0,23.7,95.86,8.3,0.0,0,0.0,0.0,0.0,0.0
300,85.0,89.0,0.0,24.3,93.03,10.4,0.84,0.9,0.87,0.88,0.61,3.56
