,GHI(W/m2),DHI(W/m2),DNI(W/m2),TEMPERATURE,R.HUMIDITY,WINDSPEED,CABLE#1,CABLE#2,CABLE#3,CABLE#4,CABLE#5,TX(LV)
12017,610.0,645.0,0.0,32.3,36.0,26.3,4.635252,3.805887,4.626341,4.439891,3.02846,20.837648
12018,408.0,457.0,0.0,31.8,37.0,26.3,3.030837,2.476737,3.087547,2.934944,1.878228,14.355348
12020,17.0,19.0,54.0,23.4,77.0,17.6,0.130893,0.065025,0.130227,0.139316,0.065015,0.0
12021,107.0,98.0,60.0,24.5,71.0,22.0,1.683084,0.895244,1.507279,1.144617,0.791078,6.883024
12022,551.0,212.0,447.0,27.0,66.0,22.3,3.979181,2.722255,3.754238,4.510447,3.090905,18.409732
12023,756.0,269.0,502.0,28.1,54.0,24.1,2.542218,1.320215,3.31318,2.335895,4.291248,14.756072
12024,414.0,348.0,73.0,30.0,49.0,37.1,7.796646,6.00868,5.289426,8.339013,4.745076,33.095088
12025,1083.0,362.0,549.0,31.5,44.0,33.5,5.177987,3.038093,3.828868,3.698167,3.74067,19.234752
12026,1158.0,366.0,440.0,32.0,43.0,27.7,9.305827,6.616824,9.317854,9.411093,6.049979,41.72244
12027,281.0,240.0,46.0,33.0,36.0,33.5,7.9757,5.57401,7.975188,7.755771,2.777516,33.755104
12028,177.0,179.0,17.0,33.7,35.0,29.5,3.805298,1.317551,3.483253,2.050307,0.921712,12.13958
12029,226.0,226.0,3.0,33.0,36.0,22.3,4.595325,1.925825,5.226059,2.421547,1.327537,16.38254
12030,147.0,146.0,1.0,32.0,38.0,18.4,1.495258,1.351347,1.462621,1.609786,0.705572,7.142316
12032,11.0,14.0,42.0,24.0,83.0,13.0,0.064997,0.065416,0.065138,0.065133,0.065309,0.0
12033,189.0,104.0,177.0,26.0,74.0,22.3,1.658136,1.590216,1.852534,1.135104,0.607808,6.694448
12034,529.0,219.0,409.0,27.0,66.0,29.5,2.198892,2.80158,2.126249,4.553114,2.433421,14.520352
12035,281.0,260.0,68.0,29.0,58.0,33.5,7.473626,5.9527,7.407942,5.969951,0.943887,28.262828
12036,245.0,245.0,33.0,30.0,52.0,27.7,2.180175,2.122744,2.16565,2.155609,1.091556,9.405228
12037,968.0,245.0,526.0,30.5,48.0,37.1,8.180096,7.979121,8.278412,8.163468,4.114452,37.149472
12038,1033.0,286.0,415.0,32.0,43.0,25.9,9.008403,8.722786,7.81224,8.88368,4.387624,40.0724
12039,938.0,284.0,522.0,33.0,41.0,22.3,8.426279,8.025988,8.466309,8.202318,4.072507,39.36524
12040,268.0,268.0,15.0,33.0,42.0,22.3,2.324762,2.238709,2.330113,2.274786,1.185971,10.748832
12041,214.0,214.0,0.0,32.0,43.0,37.1,5.090158,2.694301,4.790355,2.510793,1.029017,16.901124
12042,436.0,229.0,329.0,32.0,41.0,33.5,2.923609,3.018242,2.905713,3.206464,1.634385,13.506756
12044,6.0,11.0,3.0,25.0,74.0,14.8,0.0,0,0.0,0.066646,0.0,0.0
12045,110.0,111.0,9.0,25.0,74.0,11.2,0.871227,0.955177,0.912233,0.985503,0.61496,4.313676
12046,354.0,178.0,243.0,26.4,67.0,22.3,3.349641,2.870541,3.316192,3.300205,1.359731,14.473208
12047,675.0,218.0,465.0,28.0,58.0,27.7,2.135141,2.125128,2.573871,4.046768,3.920397,15.015364
12048,1068.0,449.0,462.0,30.0,52.0,22.3,4.044104,5.29393,3.6119,5.342641,4.762547,23.477712
12049,1051.0,391.0,502.0,30.4,48.0,27.7,3.045771,3.980146,2.660762,4.823914,2.587766,18.221156
12050,508.0,483.0,53.0,32.0,43.0,18.4,5.663959,4.442784,3.866285,3.848331,2.6863,20.295492
12051,436.0,438.0,18.0,33.0,39.0,25.9,4.248592,3.950487,3.715499,4.21264,2.567162,19.187608
12052,320.0,333.0,0.0,33.5,37.0,22.3,6.852307,5.207754,5.583109,5.547686,2.38596,26.98994
12053,679.0,720.0,0.0,34.0,36.0,18.4,2.253094,1.826236,2.862926,2.738532,2.445642,12.988172
12054,184.0,199.0,0.0,32.0,43.0,18.4,2.817065,2.557596,2.452112,2.947221,1.278952,11.715284
12056,19.0,19.0,58.0,22.4,78.0,20.5,0.132748,0.130519,0.135172,0.130659,0.06743,0.0
12057,233.0,75.0,376.0,25.0,74.0,33.5,1.900652,1.831904,1.596663,1.941622,1.209428,8.674496
12058,435.0,188.0,351.0,26.5,67.0,37.1,1.781171,1.488832,1.826729,1.467032,2.82313,10.772404
12059,231.0,220.0,46.0,28.0,58.0,42.5,4.157919,2.351169,2.430134,2.32809,1.279644,12.563876
12060,224.0,219.0,35.0,30.0,49.0,37.1,2.456056,2.146551,1.651264,2.211355,1.391169,10.230248
12061,1026.0,230.0,523.0,30.2,46.0,40.7,1.830745,2.340821,1.501068,1.774098,3.501165,11.031696
12062,295.0,268.0,19.0,32.0,41.0,29.5,5.563271,2.560749,3.881101,2.55094,1.602504,17.32542
12063,943.0,200.0,580.0,33.0,34.0,33.5,7.953281,7.784139,6.889583,8.141682,5.29245,36.748748
12064,707.0,180.0,472.0,33.6,29.0,25.9,6.923836,4.631385,5.984474,6.376463,2.639898,27.484952
12065,724.0,228.0,531.0,34.0,32.0,25.9,1.612745,3.385973,1.40645,3.192421,3.690865,13.78962
12066,488.0,177.0,470.0,33.0,36.0,48.2,3.444817,3.361234,2.991478,3.459598,2.187613,14.897504
12068,13.0,15.0,37.0,23.0,83.0,9.4,0.130633,0.131315,0.131027,0.131012,0.065008,0.0
12069,107.0,110.0,51.0,25.0,69.0,18.4,0.901496,0.903732,0.816333,1.014514,0.631897,4.172244
12070,212.0,192.0,76.0,26.1,68.0,29.5,3.384682,4.069413,1.83555,3.812539,2.026199,15.20394
12071,740.0,264.0,478.0,27.0,62.0,37.1,4.586203,6.190329,5.251472,6.2376,4.337175,27.649956
12072,336.0,318.0,55.0,29.0,52.0,40.7,8.136046,5.969696,5.83338,7.29319,2.041565,30.219304
12073,981.0,340.0,490.0,30.4,46.0,44.6,3.231156,6.137798,4.749437,5.110548,4.717035,24.51488
12074,412.0,388.0,17.0,32.0,38.0,25.9,4.509118,2.830222,4.484444,2.91875,1.879557,16.995412
12075,680.0,635.0,36.0,33.0,36.0,33.5,7.575584,7.546172,5.773527,5.97142,2.951051,30.855748
12076,741.0,806.0,0.0,33.5,35.0,40.7,6.351293,6.155548,5.544706,5.452683,4.070002,28.16854
12077,593.0,632.0,0.0,34.0,32.0,33.5,2.258261,1.657803,1.485836,1.400637,2.446315,9.617376
12078,175.0,191.0,0.0,32.0,41.0,29.5,2.454748,2.305275,2.516079,2.043674,1.159774,11.691712
12080,52.0,51.0,0.0,24.0,78.0,22.3,0.412008,0.478182,0.462395,0.332468,0.284289,2.097908
12081,193.0,175.0,69.0,25.0,74.0,29.5,2.763026,2.154263,3.031259,2.12225,1.170651,11.503136
12082,474.0,236.0,244.0,26.4,65.0,37.1,1.529216,2.388657,1.582972,1.897222,3.021148,10.088816
12083,283.0,280.0,36.0,27.0,58.0,44.6,2.779149,2.404636,2.686357,2.044511,1.539546,11.90386
12084,266.0,266.0,7.0,29.0,55.0,48.2,1.896082,2.008994,1.866345,1.730058,1.448354,8.980932
12085,356.0,322.0,5.0,29.1,51.0,51.8,2.754763,2.901378,2.809384,1.715335,1.985342,12.351728
12086,1109.0,1095.0,76.0,30.0,46.0,29.5,8.867153,8.931546,8.162617,6.611843,5.959944,39.223808
12087,861.0,898.0,48.0,32.0,41.0,27.7,7.79554,7.502348,7.873409,5.579683,4.839702,33.896536
12088,629.0,672.0,0.0,30.5,44.0,33.5,5.245943,5.088888,5.385249,3.837939,3.363146,24.727028
12089,305.0,322.0,0.0,31.0,40.0,29.5,2.809443,2.360923,2.665,1.690744,1.567957,11.833144
12090,150.0,152.0,0.0,31.0,43.0,40.7,1.290344,1.227964,1.236838,1.11021,0.770675,5.704424
12092,75.0,73.0,28.0,24.0,78.0,14.8,0.60454,0.595056,0.666835,0.557023,0.422336,2.9465
12093,327.0,197.0,144.0,25.0,74.0,22.3,2.898328,2.745083,3.025035,1.961188,1.447136,12.068864
12094,328.0,291.0,81.0,26.2,67.0,29.5,5.291489,3.479256,5.422333,3.729412,2.313706,20.97908
12095,721.0,344.0,346.0,26.9,57.0,29.9,7.052627,3.2783,6.988489,2.903702,2.079366,22.676264
12096,459.0,354.0,103.0,29.0,52.0,46.4,3.74762,3.014698,3.884223,2.82872,3.077714,16.877552
12097,393.0,356.0,124.0,30.3,42.0,40.7,6.085938,4.4896,5.009538,4.6808,2.766316,23.572
12098,1055.0,382.0,483.0,32.0,36.0,33.5,3.025376,5.130794,3.071741,5.231798,5.832496,23.265564
12099,927.0,570.0,191.0,32.0,36.0,37.1,5.030251,6.009028,5.765669,4.890427,4.390904,26.141348
12100,371.0,373.0,2.0,32.5,34.0,44.6,3.739021,3.431852,3.842707,3.437821,2.214563,17.773288
12101,108.0,108.0,1.0,31.0,40.0,33.5,1.066891,0.99682,1.131165,0.989289,0.599046,4.902976
12102,134.0,136.0,0.0,31.0,43.0,29.5,1.187802,1.119081,1.233464,1.153814,0.768973,5.893
12104,39.0,42.0,31.0,24.0,78.0,11.2,0.28714,0.303941,0.349834,0.334017,0.195976,0.990024
12105,142.0,143.0,48.0,24.0,74.0,18.4,1.454387,1.347462,1.462908,1.321974,0.799822,6.270152
12106,335.0,326.0,50.0,25.0,71.0,22.3,2.977871,4.173027,2.557616,3.495795,2.395108,15.981816
12107,501.0,310.0,212.0,26.3,57.0,24.5,2.537803,4.576568,2.088794,4.016109,4.060294,17.32542
12108,262.0,262.0,38.0,27.0,58.0,24.1,2.914249,2.500878,2.880567,2.503667,1.54338,12.870312
12109,835.0,359.0,315.0,29.0,50.0,33.5,3.348918,4.712678,3.268363,6.119612,4.856759,22.605548
12110,682.0,359.0,215.0,31.6,36.0,25.2,2.634895,7.005793,2.726867,6.68942,2.436393,22.464116
12111,436.0,432.0,30.0,31.0,40.0,37.1,3.69869,4.033987,3.901227,4.144048,2.565748,18.904744
12112,349.0,352.0,1.0,31.5,38.0,29.5,2.949419,2.818506,3.021569,2.86762,1.842694,14.638212
12113,203.0,206.0,0.0,32.0,36.0,18.4,1.999846,1.853987,2.027811,1.819536,1.148818,9.028076
12114,223.0,172.0,131.0,32.0,36.0,37.1,1.785664,1.673239,1.871722,1.72552,1.030543,8.556636
12116,75.0,53.0,120.0,22.0,78.0,14.8,0.582696,0.592087,0.583709,0.547943,0.360981,1.932904
12117,322.0,115.0,348.0,24.0,78.0,29.5,2.651988,2.602552,2.763136,2.687894,1.655265,12.351728
12118,488.0,310.0,206.0,25.8,64.0,25.9,4.72521,3.953444,5.096568,4.116636,2.725146,21.049796
12119,584.0,444.0,152.0,27.0,54.0,40.7,8.068922,6.205019,6.612186,5.92688,3.734552,31.845772
12120,806.0,265.0,428.0,29.0,45.0,44.6,7.047107,6.895498,7.157987,7.04306,4.555113,33.095088
12121,927.0,237.0,470.0,31.3,38.0,48.2,7.776509,7.623266,7.881455,7.681328,5.024617,37.24376
12122,978.0,323.0,496.0,32.0,36.0,37.1,8.285266,7.860294,8.36755,8.414244,4.425908,39.035232
12123,1125.0,428.0,564.0,32.0,34.0,42.5,6.561904,8.096973,6.973599,7.907368,3.948467,33.872964
